,S5.3 - YOUSSEF S. /MARINA A. ,,,,,,
,Block 1 - Day 1,,,,,,
,Time,Game,,Location,Point Deduction,,
,11:00 AM,Talk,Big Mac,Main Hall / Football Field,0,,
,11:30 AM,Big Mac,Talk,Football Field / Main Hall,0,,
,12:00 PM,Chubby Bunny,,Pool,0,,
,12:20 PM,Cone Memory,,Court,0,,
,12:40 PM,Scale,,Terrace,0,,
,1:00 PM,END OF BLOCK,,,,,
,Block 2 - Day 1,,,,,,
,Time,Game,,Location,Point Deduction,,
,5:00 PM,Lift,,Terrace,0,,
,5:20 PM,Bible Whispers,,Pool,0,,
,5:40 PM,Puzzle,,Court,0,,
,6:00 PM,Cheesy Strings,,Football Field,0,,
,6:30 PM,Talk,,Main Hall,0,,
,7:00 PM,END OF BLOCK,,,,,
,Block 3 - Day 1,,,,,,
,Time,Game,,Location,Point Deduction,,
,7:15 PM,Talk 1,,Main Hall 1,0,,1. Football Field
,7:45 PM,Big Bucket 1,,Football Field 1,0,,2. Terrace
,8:15 PM,END OF BLOCK,,,,,3. Court
,Block 4 - Day 2,,,,,,4. Pool
,Time,Game,,Location,Point Deduction,,5. Roof
,10:00 AM,Talk 1,,Main Hall 1,0,,MH = Main Hall
,10:30 AM,Balloon Darts 1,,Court,0,,
,11:00 AM,Golden Snitch 1,,Football Field,0,,
,11:30 AM,Nadala+ 1,,Roof,0,,
,12:00 PM,END OF BLOCK,,,,,
,,,,Total Deduction:,0,,
