,,,,,,,,,,,,,,
,7:15 PM,Talk 2,Big Bucket 2,Main Hall / Football Field,,7:15 PM,Big Bucket 2,,Football Field,,7:15 PM,Talk 2,,Main Hall
,7:45 PM,Big Bucket 2,Talk 2,Football Field / Main Hall,,7:45 PM,Talk 2,,Main Hall,,7:45 PM,Big Bucket 2,,Football Field
,8:15 PM,END OF BLOCK,,,,8:15 PM,END OF BLOCK,,,,8:15 PM,END OF BLOCK,,
,Block 4 - Day 2,,,,,Block 4 - Day 2,,,,,Block 4 - Day 2,,,
,Time,Game,,Location,,Time,Game,,Location,,Time,Game,,Location
,10:00 AM,Golden Snitch 2,,Football Field,,10:00 AM,Nadala+ 2,,Roof,,10:00 AM,Talk 2,,?
,10:30 AM,Nadala+ 2,,Roof,,10:30 AM,Talk 2,,?,,10:30 AM,Balloon Darts 2,,Court
,11:00 AM,Talk 2,,?,,11:00 AM,Balloon Darts 2,,Court,,11:00 AM,Golden Snitch 2,,Football Field
,11:30 AM,Balloon Darts 2,,Court,,11:30 AM,Golden Snitch 2,,Football Field,,11:30 AM,Nadala+ 2,,Roof
,12:00 PM,END OF BLOCK,,,,12:00 PM,END OF BLOCK,,,,12:00 PM,END OF BLOCK,,
